,index,time,rpm,temp,power,cum_rpm,cum_temp,cum_power,RpmSpec,PowerSpec,DiameterSpec,ThicknessSpec,QSpec,PSpec,LifeSpec,cumurated_life_impact_factor,death,index,remaining_life,index,remaining_life_pred,index,defference_rate
0,3046,44000.0,16368.01214569816,28.314289569752944,13.863169094539913,681462.7715670138,1100.7820832317216,562.0794250246721,25000.0,20.16,40.0,28.0,0.83,1100.0,40000.0,0.3478529505483558,0.0,3046,36717.69783062507,0,35666.805,0,0.02862088870529761
1,6370,50000.0,11766.022872578074,21.64224357437549,11.569986193068893,767516.601542227,1260.51727368025,642.8501683858457,25000.0,20.16,40.0,28.0,0.83,1100.0,40000.0,0.3371413818318752,0.0,6370,24083.21150757832,1,24106.27,1,-0.0009574314316188985
2,20084,16000.0,5340.254138107974,28.221011650728407,42.6701592503438,73521.75750094632,385.0147513182764,605.580879689628,7650.0,62.400000000000006,120.0,38.0,7.49,532.5,40000.0,0.3407803397950689,0.0,20084,44009.48647900557,2,44355.99,2,-0.007873343453114903
3,21500,10000.0,4066.2414219909074,20.646347082579627,33.1259814809556,48912.36467666344,259.1601176356196,408.2235427623662,7650.0,62.400000000000006,120.0,38.0,7.49,532.5,40000.0,0.3731681799855476,0.0,21500,45145.44324472488,3,45107.59,3,0.0008384766712706823
4,20102,34000.0,3686.065814519516,20.70275079098773,34.08140420079233,157726.79876235704,836.3340624961576,1317.5602284801005,7650.0,62.400000000000006,120.0,38.0,7.49,532.5,40000.0,0.2904277186765664,0.0,20102,20291.89056514258,4,22094.656,4,-0.08884168180732309
5,13805,58000.0,8474.876345159444,20.991496909283303,9.967429121353758,765730.6530761677,1452.4081630510216,706.8261132083469,22000.0,19.2,40.0,56.0,0.9,1045.0,40000.0,0.325800473372459,0.0,13805,8307.302133499135,5,10398.519,5,-0.2517323178551012
6,8955,27000.0,10849.717272312488,20.45499627782782,9.518544950005818,354986.20982733706,649.1530007536181,312.956669333649,22000.0,19.2,40.0,56.0,0.9,1045.0,40000.0,0.3948315696354737,0.0,8955,46880.10180430829,6,39417.684,6,0.15918093014619883
7,18291,40000.0,3561.0741513327744,21.675597028229426,35.857571434139615,185452.6667566793,998.553028919505,1590.9982334632098,7650.0,62.400000000000006,120.0,38.0,7.49,532.5,40000.0,0.2803535816459815,0.0,18291,15773.222572974577,7,14830.28,7,0.05978120800455129
8,21102,7000.0,4142.246503952004,20.882211229561584,34.127717972831235,33335.043541571205,173.16907819087393,272.8010867223795,7650.0,62.400000000000006,120.0,38.0,7.49,532.5,40000.0,0.4144449090520253,0.0,21102,52343.19678998461,8,47007.316,8,0.1019402847163432
9,5114,58000.0,10942.849699014989,21.609930880163773,11.038805702805467,885849.4353514371,1481.591661313789,757.7255726491258,25000.0,20.16,40.0,28.0,0.83,1100.0,40000.0,0.3250383002950802,0.0,5114,16610.242180968446,9,13021.29,9,0.2160686221672353
10,16525,12000.0,5703.342092564493,29.37056200359017,45.12182873941587,55645.67974275001,290.7732930234868,461.1189637977053,7650.0,62.400000000000006,120.0,38.0,7.49,532.5,40000.0,0.3630222920057808,0.0,16525,47860.639671167744,10,48461.07,10,-0.012545395244559752
11,2469,20000.0,17365.100111868156,29.2299367815298,14.628797671164492,316241.8470437608,504.31033147820574,257.1714466803769,25000.0,20.16,40.0,28.0,0.83,1100.0,40000.0,0.4232068086999224,0.0,2469,64924.735364920765,11,57795.227,11,0.10981190392764978
